NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
82,"brand new rumah minimalis di tebet dekat sekolah dan TOl, Tebet, Jakarta Selatan","0,0383","0,1007","0,0431","0,1250","0,3333","0,1111"
83,"Rumah 1,5 Lantai di Tebet Timur Jakarta Selatan, Tebet, Jakarta Selatan","0,1000","0,1289","0,1508","0,2500","0,2222","0,0000"
84,"Rumah Bagus di Menteng Dalam, Tebet, Jakarta Selatan","0,1406","0,3170","0,1694","0,7500","0,3333","0,2222"
85,"Rumah mewah bebas banjir murah di tebet, Tebet, Jakarta Selatan","0,2188","0,6933","0,8700","0,5000","0,8889","0,1111"
86,"Rumah minimalis di Tebet, Tebet, Jakarta Selatan","0,0391","0,1007","0,0401","0,3750","0,2222","0,2222"
87,"Rumah Strategis Dan Minimalis Di Tebet, Tebet, Jakarta Selatan","0,0391","0,1759","0,0646","0,3750","0,2222","0,1111"
88,"Rumah Tebet Barat 2Lantai siap huni strategis area!, Tebet, Jakarta Selatan","0,0281","0,0913","0,0267","0,3750","0,2222","0,0000"
89,"Butuh Cepat, Rumah Bagus Di Tebet, Tebet, Jakarta Selatan","0,0344","0,0818","0,0193","0,3750","0,2222","0,0000"
90,"Rumah Siap Huni di Jl Tebet Raya,Lingkungan Tenang dan Nyaman, Untuk informasi lebih lanjut Hubungi 0813-1838-1838 / 0878-7838-1838, Tebet, Jakarta Selatan","0,1563","0,1994","0,1865","0,3750","0,2222","0,0000"
91,"Rumah bagus Full Furnish, Tebet, Jakarta Selatan","0,0625","0,2418","0,0713","0,3750","0,4444","0,0000"
92,"Rumah Tua Di Tebet, Tebet, Jakarta Selatan","0,0719","0,0875","0,1025","0,3750","0,1111","0,1111"
93,Dijual Sangat Murah Rumah Di Tebet Timur Lokasi Premium Dan Strategis - Jakarta Selatan,"0,0438","0,1392","0,0936","0,3750","0,3333","0,2222"
94,Rumah Lama Tebet Timur,"0,0469","0,1289","0,0684","0,1250","0,0000","0,0000"
95,"Edisi Turun Harga Masa Covid19 BU Rumah Mewah di Menteng Dalam, Tebet, Jakarta Selatan. Full Furnish","0,2188","0,6933","0,4740","0,3750","0,3333","0,3333"
96,Rumah Dijual Tebet,"0,0445","0,1289","0,0565","0,2500","0,3333","0,1111"
97,Rumah Siap Huni Jln 2 Mbl Nyaman,"0,0500","0,0913","0,0639","0,2500","0,2222","0,1111"
98,TEBET BARAT - Rumah Besar Akses 2 Mobil. SHM,"0,0780","0,2700","0,1159","0,3750","0,3333","0,2222"
99,Rumah siap huni di tebet timur jakarta selatan,"0,0469","0,1101","0,0728","0,2500","0,2222","0,1111"
